Day,Net Profit (Accumulated) (USD)
0,0
1,-12600
2,-215420
3,-322933
4,-470998
5,-554169
6,-585471
7,-708829
8,-724088
9,-752600
10,-65882
11,25785
12,246987
13,987696
14,1218346
15,1208999
16,1235256
17,1533742
18,1534850
19,1547478
20,2669374
21,2752291
22,2725164
23,2713872
24,2757496
25,2882175
26,2948457
27,3161223
28,3301614
29,3620472
30,3670074
31,3883402
32,3960846
33,3830847
34,3856714
35,3701397
36,3834565
37,4305975
38,4562805
39,5135859
40,4943083
41,4550686
42,4486110
43,4685181
44,4814003
45,4708494
46,5502500
47,5362675
48,5281205
49,5361059
50,5210677
51,5124178
52,5209270
53,5064861
54,4662327
55,5125808
56,5002446
57,5216190
58,5306334
59,5277501
60,5137962
61,5179002
62,5204445
63,5006469
64,4879260
65,5071421
66,5069481
67,5431429
68,5380306
69,5372873
70,5348903
71,5529547
72,5603272
73,5585547
74,5672734
75,5685616
76,5823551
77,5872176
78,6428749
79,6796420
80,6912973
81,6981251
82,6925862
83,6863640
84,6808887
85,6808346
86,6798254
87,6948372
88,6917844
89,6883788
90,7040413
